Word	Length	LemmaFreq	WordFreq	zipfFreq	Syllables	SyllLength
κάψα	4	1.7	1.3	3.12	κά-ψα	2
κέικ	4	0.9	0.9	2.961	κέ-ικ	2
κελί	4	10	5.2	3.717	κε-λί	2
κενό	4	75.9	38.6	4.587	κε-νό	2
κερί	4	7.6	3.6	3.558	κε-ρί	2
κέφι	4	13.8	10.2	4.01	κέ-φι	2
κήλη	4	0.4	0.2	2.327	κή-λη	2
κιλό	4	38.9	10	4	κι-λό	2
κινώ	4	283.4	0.1	2.106	κι-νώ	2
κιτς	4	2.4	2.4	3.384	κιτς	1
κλακ	4	0	0	1.327	κλακ	1
κλικ	4	7.4	7.4	3.87	κλικ	1
κλιπ	4	0.8	0.8	2.919	κλιπ	1
κλου	4	0.9	0.9	2.961	κλου	1
κόβω	4	81.4	0.8	2.919	κό-βω	2
κόκα	4	5.3	4.3	3.635	κό-κα	2
κόλα	4	11.1	10.6	4.026	κό-λα	2
κόλο	4	10.8	0	1.327	κό-λο	2
κόμη	4	6.4	3.5	3.548	κό-μη	2
κομό	4	0.1	0.1	2.106	κο-μό	2
κοπή	4	6.2	3.2	3.506	κο-πή	2
κόρα	4	7.2	0.3	2.504	κό-ρα	2
κόρη	4	56.6	40.3	4.605	κό-ρη	2
κόρο	4	7.1	0.2	2.327	κό-ρο	2
